id,title,kind,genres,capabilities,runtime,dimension,repo_url,source_commit,demo_url,demo_kind,code_license,asset_status,reuse_status,source_checked_at
2048,2048,game,puzzle; turn-based,puzzle-rules; persistence,HTML / CSS / JavaScript,2d,https://github.com/gabrielecirulli/2048,478b6ec346e3787f589e4af751378d06ded4cbbc,https://play2048.co,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
3d-city,3d.city,game,city-builder; simulation; management,simulation-clock; economy,Three.js / micropolisJS,3d,https://github.com/lo-th/3d.city,60fc6de2451ac6cf4df211a7cdae6c55c97e73c7,https://lo-th.github.io/3d.city/index.html,browser,unknown,unreviewed,review_required,2026-09-10T17:33:07Z
a-dark-room,A Dark Room,game,incremental; adventure; resource-management,economy; game-state,HTML / JavaScript,2d,https://github.com/doublespeakgames/adarkroom,1fada4620b6c66bd07bf15a3f1eb8223df8bc1d7,https://adarkroom.doublespeakgames.com,browser,MPL-2.0,unreviewed,review_required,2026-09-10T17:33:07Z
battle-for-wesnoth,The Battle for Wesnoth,game,turn-based-strategy; tactics; fantasy,pathfinding; combat,Wesnoth native engine,2d,https://github.com/wesnoth/wesnoth,12b8f63f5b7a163c9a159705d288919bc53cc54b,https://wesnoth.itch.io/battle-for-wesnoth,native-download,GPL-2.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
browserquest,BrowserQuest,game,action-rpg; multiplayer,pathfinding; networking,HTML5 Canvas / Node.js,2d,https://github.com/mozilla/BrowserQuest,af32d247cac3495ca430d0effbb88dd5f3250b2c,,none,MPL-2.0,mixed,review_required,2026-09-10T17:33:07Z
cataclysm-dda,Cataclysm: Dark Days Ahead,game,survival; roguelike; rpg; crafting,crafting; procedural-generation,Cataclysm native engine,2d,https://github.com/CleverRaven/Cataclysm-DDA,7b123884d93a9a8432d690d528698f6a907d5cce,https://cataclysmdda.org/releases/,native-download,CC-BY-SA-3.0,mixed,review_required,2026-09-10T17:34:56.320282+00:00
clumsy-bird,Clumsy Bird,game,arcade; endless-runner,character-controller; game-state,melonJS,2d,https://github.com/ellisonleao/clumsy-bird,fae3d487d5102af29fb3f78431cbd45e9b83aed3,https://ellisonleao.github.io/clumsy-bird/,browser,unknown,unreviewed,review_required,2026-09-10T17:33:07Z
drei,Drei,toolkit,rendering; exploration,camera; materials,React Three Fiber / Three.js,3d,https://github.com/pmndrs/drei,ffa15b956e320391b0e86084cb58c8da0445abe3,https://drei.pmnd.rs/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
dungeon-forge,Dungeon Forge,demo,dungeon; procedural-generation,procedural-generation; world-building,Three.js,3d,https://github.com/majidmanzarpour/threejs-procedural-dungeon,0a2aa0980028cbbc77af6642b4232b45713dc5de,https://procedural-dungeon.netlify.app,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
ecctrl,Ecctrl,toolkit,action; racing; exploration,character-controller; vehicle-controller; input,React Three Fiber / Rapier,3d,https://github.com/pmndrs/ecctrl,e2cab804f9f15661a642e76f52d09f0b2db63f35,https://ecctrl.app/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
endless-sky,Endless Sky,game,space; exploration; trading; sandbox,economy; autonomous-agents,Endless Sky / SDL / OpenGL,2d,https://github.com/endless-sky/endless-sky,88ec756f5d1868b3d8a024c9211011f6928bb9c0,https://github.com/endless-sky/endless-sky/releases/latest,native-download,GPL-3.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
fable-cities,Fable Cities,game,city-builder; simulation; management,simulation-clock; construction,Three.js,3d,https://github.com/rawprogress/fable-cities,aea8b1035030952555395de0c1de14ba693a1427,https://fablecities.rawscollections.com,browser,MIT,mixed,review_required,2026-09-10T17:33:07Z
freeciv,Freeciv,game,4x; turn-based-strategy; builder; economy,economy; pathfinding,Freeciv native engine,2d,https://github.com/freeciv/freeciv,61db53503f9243aca417848a72864be69635235e,https://www.freeciv.org/,native-download,GPL-2.0-or-later,unreviewed,review_required,2026-09-10T17:34:56.320282+00:00
freecol,FreeCol,game,turn-based-strategy; colony-management; economy; builder,economy; pathfinding,JVM / FreeCol,2d,https://github.com/FreeCol/freecol,e45ac6fd9592c8f032b2686658f63447c115d9d7,https://github.com/FreeCol/freecol/releases,native-download,GPL-2.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
gather-it,Gather It,game,resource-management; automation; simulation,autonomous-workers; economy,Unity,3d,https://github.com/tweeres04/gather-it,8c74a133c9a2cb98a4bfb53eacafe751a0453286,https://tweeres04.github.io/gather-it/,browser,unknown,unreviewed,review_required,2026-09-10T17:33:07Z
godot-astar-grid-2d,Godot AStarGrid2D Navigation,demo,navigation-demo; strategy-toolkit,pathfinding; movement,Godot,2d,https://github.com/godotengine/godot-demo-projects,a3b5c113112f77291d5f3d1360f33a882fdc52f7,https://godotengine.github.io/godot-demo-projects/2d/navigation_astar/,browser,MIT,unreviewed,review_required,2026-09-10T17:34:56.320282+00:00
godot-platformer-2d,Godot 2D Platformer,demo,platformer; action,movement; ui,Godot,2d,https://github.com/godotengine/godot-demo-projects,a3b5c113112f77291d5f3d1360f33a882fdc52f7,https://godotengine.github.io/godot-demo-projects/2d/platformer/,browser,MIT,unreviewed,review_required,2026-09-10T17:34:56.320282+00:00
godot-platformer-3d,Godot 3D Platformer,demo,platformer; action,movement; camera,Godot,3d,https://github.com/godotengine/godot-demo-projects,a3b5c113112f77291d5f3d1360f33a882fdc52f7,https://godotengine.github.io/godot-demo-projects/3d/platformer/,browser,MIT,unreviewed,review_required,2026-09-10T17:34:56.320282+00:00
godot-truck-town,Godot Truck Town,demo,driving; simulation; vehicle-demo,vehicle-physics; camera,Godot,3d,https://github.com/godotengine/godot-demo-projects,a3b5c113112f77291d5f3d1360f33a882fdc52f7,https://godotengine.github.io/godot-demo-projects/3d/truck_town/,browser,MIT,unreviewed,review_required,2026-09-10T17:34:56.320282+00:00
hexgl,HexGL,game,racing; arcade,vehicle-controller; replay,Three.js,3d,https://github.com/BKcore/HexGL,6addc95a2fce3bf05f4d751823cc054c61a16d68,https://hexgl.bkcore.com,browser,MIT with per-file exceptions,mixed,review_required,2026-09-10T17:33:07Z
hextris,Hextris,game,puzzle; arcade,puzzle-rules; spawn-system,HTML5 Canvas,2d,https://github.com/Hextris/hextris,3f4847dc8fd7dab3d1c87e6324b9159d92fbd396,https://hextris.github.io/hextris,browser,GPL-3.0-or-later,unreviewed,review_required,2026-09-10T17:33:07Z
littlejs,LittleJS,engine,platformer; arcade; puzzle,audio; particles,LittleJS,mixed,https://github.com/KilledByAPixel/LittleJS,da1b3836552b2373522a56bd39d6fb9f4b530017,https://killedbyapixel.github.io/LittleJS/examples,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
luanti,Luanti (formerly Minetest),engine,sandbox; builder; exploration,procedural-generation; pathfinding,Luanti,3d,https://github.com/luanti-org/luanti,c5ba5f754af552a3451f1ded86955d393de82c29,https://www.luanti.org/,native-download,LGPL-2.1-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
matter-js,Matter.js,engine,physics-puzzle; sandbox,physics; physics-joints,Matter.js,2d,https://github.com/liabru/matter-js,acb99b6f8784c809b940f1d2cf745427e088e088,https://brm.io/matter-js/demo/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
mindustry,Mindustry,game,automation; tower-defense; rts; resource-management,resource-loops; production-queues,Arc / JVM,2d,https://github.com/Anuken/Mindustry,7c5f29e6fb1ac49bc7b4e1806f42685cbcc8b499,https://anuke.itch.io/mindustry,native-download,GPL-3.0-only,unreviewed,review_required,2026-09-10T17:34:56.320282+00:00
openra,OpenRA,engine,rts; strategy; resource-management,production-queues; resource-loops,OpenRA / .NET,2d,https://github.com/OpenRA/OpenRA,f3ec7f8e1593b482f85fd101652deb740c33dee6,https://www.openra.net/,native-download,GPL-3.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
openrct2,OpenRCT2,game,simulation; management; tycoon; builder,economy; pathfinding,OpenRCT2 native engine,2d,https://github.com/OpenRCT2/OpenRCT2,bb118516646347d73e7eb0d30de9eef2f5b16043,https://openrct2.io/download/release/latest,native-download,GPL-3.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
openttd,OpenTTD,game,simulation; management; tycoon; transport,economy; pathfinding,OpenTTD native engine,2d,https://github.com/OpenTTD/OpenTTD,d1af18d1b66da003551fcc2139080ae28fd0630c,https://www.openttd.org/,native-download,GPL-2.0-only,mixed,review_required,2026-09-10T17:34:56.320282+00:00
phaser-dungeon-crawler,Phaser Dungeon Crawler Starter,game,dungeon-crawler; action-rpg,combat; enemy-ai,Phaser,2d,https://github.com/ourcade/phaser3-dungeon-crawler-starter,186705eb557af3d7042590fc61485a7cbed7b7f0,https://ourcade.co/templates/dungeon-crawler-starter,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
pmndrs-racing-game,Poimandres Racing Game,game,racing; arcade,vehicle-controller; camera,React Three Fiber / Three.js,3d,https://github.com/pmndrs/racing-game,7816a5d954b75e6ad853ae4e4f0cbbd628072643,https://racing.pmnd.rs/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
react-three-rapier,React Three Rapier,toolkit,physics; sandbox,physics; physics-joints,React Three Fiber / Rapier,3d,https://github.com/pmndrs/react-three-rapier,ae5c3fede5ca489fd7eaa8271e9d9c5eabc88e98,https://react-three-rapier.pmnd.rs,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
slimcity,SlimCity,game,city-builder; simulation; management,economy; pathfinding,Three.js,3d,https://github.com/rbenzing/SlimCityGame,73e065226b8134cf44901a641076aeed3281f9f1,https://slimcity.netlify.app/,browser,AGPL-3.0-or-later,unreviewed,review_required,2026-09-10T17:33:07Z
supertux,SuperTux,game,platformer; action,movement; camera,SuperTux native engine,2d,https://github.com/SuperTux/supertux,d7bde40da60e295ac801cd7ef928427920a254d2,https://www.supertux.org/download.html,native-download,GPL-3.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
supertuxkart,SuperTuxKart,game,racing; arcade,vehicle-physics; camera,SuperTuxKart native engine,3d,https://github.com/supertuxkart/stk-code,dbf200ccba14025bac7dc8d0318dcf5e55b6da18,https://github.com/supertuxkart/stk-code/releases/latest,native-download,GPL-3.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
three-mesh-bvh,three-mesh-bvh,toolkit,spatial-query; exploration,collision-query; background-processing,Three.js,3d,https://github.com/gkjohnson/three-mesh-bvh,8747a3c418f1dafa7c3ab1b3c1ffdecc531a2eab,https://gkjohnson.github.io/three-mesh-bvh/example/bundle/raycast.html,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
three-pathfinding,three-pathfinding,toolkit,navigation; exploration,pathfinding,Three.js,3d,https://github.com/donmccurdy/three-pathfinding,1526c84afed0d596cb13f4b7be36401fd2c6a430,https://three-pathfinding.donmccurdy.com/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
three-terrain,THREE.Terrain,toolkit,procedural-generation; exploration,terrain; world-building,Three.js,3d,https://github.com/IceCreamYou/THREE.Terrain,434d977ffdbac604cd5c6fd332c4d005f7f9ec68,https://icecreamyou.github.io/THREE.Terrain/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
threejs,Three.js,toolkit,rendering; animation,animation; materials,Three.js,3d,https://github.com/mrdoob/three.js,5c5a575bd8cc0cf440026ce8dcf6a77862067684,https://threejs.org/examples/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
unciv,Unciv,game,4x; turn-based-strategy; builder; economy,production-queues; pathfinding,libGDX,2d,https://github.com/yairm210/Unciv,0d7d1e43cd4776e04cd3f9eaf752527885123e62,https://yairm210.itch.io/unciv,native-download,MPL-2.0,mixed,review_required,2026-09-10T17:34:56.320282+00:00
veloren,Veloren,game,rpg; action; exploration,pathfinding; combat,Veloren native engine,3d,https://gitlab.com/veloren/veloren,5a8d6dc9d1bc543a59bed976007abecc248d9195,https://veloren.net/download,native-download,GPL-3.0-only,mixed,review_required,2026-09-10T17:34:56.320282+00:00
widelands,Widelands,game,rts; builder; economy; resource-management,economy; production-queues,Widelands / SDL,2d,https://github.com/widelands/widelands,187e4e257c2e127ec2c607f8c7765f774e2474ec,https://www.widelands.org/wiki/Download/,native-download,GPL-2.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
yuka,Yuka,toolkit,strategy; simulation; action,enemy-ai; steering,Engine-independent JavaScript,3d,https://github.com/Mugen87/yuka,10591304811222d6856020d5de129b39ef43b58d,https://mugen87.github.io/yuka/examples/,browser,MIT,unreviewed,review_required,2026-09-10T17:33:07Z
zero-ad,0 A.D.,game,rts; strategy; resource-management; builder,resource-loops; production-queues,Pyrogenesis,3d,https://gitea.wildfiregames.com/0ad/0ad,58e2c5946621b15f96d8da8f5e0201f278f7ac99,https://play0ad.com/download/,native-download,GPL-2.0-or-later,mixed,review_required,2026-09-10T17:34:56.320282+00:00
